area_type,area_name,area_code,date,new_cases_by_publish_date,cum_cases_by_publish_date,cum_cases_by_publish_date_rate,new_cases_by_specimen_date,cum_cases_by_specimen_date,cum_cases_by_specimen_date_rate,male_cases,female_cases,new_pillar_one_tests_by_publish_date,cum_pillar_one_tests_by_publish_date,new_pillar_two_tests_by_publish_date,cum_pillar_two_tests_by_publish_date,new_pillar_three_tests_by_publish_date,cum_pillar_three_tests_by_publish_date,new_admissions,cum_admissions,cum_admissions_by_age,cum_tests_by_publish_date,new_tests_by_publish_date,covid_occupied_mv_beds,hospital_cases,new_deaths_28_days_by_publish_date,cum_deaths_28_days_by_publish_date,cum_deaths_28_days_by_publish_date_rate,new_deaths_28_days_by_death_date,cum_deaths_28_days_by_death_date,cum_deaths_28_days_by_death_date_rate,new_people_vaccinated_first_dose_by_publish_date,new_people_vaccinated_second_dose_by_publish_date,cum_people_vaccinated_first_dose_by_publish_date,cum_people_vaccinated_second_dose_by_publish_date,new_people_vaccinated_third_injection_by_publish_date,cum_people_vaccinated_third_injection_by_publish_date,daily_cases_change,daily_deaths_change,daily_vaccinations_change,month,week,day_of_week,year_partition,male_cases_0_to_4,female_cases_0_to_4,male_cases_5_to_9,female_cases_5_to_9,male_cases_10_to_14,female_cases_10_to_14,male_cases_15_to_19,female_cases_15_to_19,male_cases_20_to_24,female_cases_20_to_24,male_cases_25_to_29,female_cases_25_to_29,male_cases_30_to_34,female_cases_30_to_34,male_cases_35_to_39,female_cases_35_to_39,male_cases_40_to_44,female_cases_40_to_44,male_cases_45_to_49,female_cases_45_to_49,male_cases_50_to_54,female_cases_50_to_54,male_cases_55_to_59,female_cases_55_to_59,male_cases_60_to_64,female_cases_60_to_64,male_cases_65_to_69,female_cases_65_to_69,male_cases_70_to_74,female_cases_70_to_74,male_cases_75_to_79,female_cases_75_to_79,male_cases_80_to_84,female_cases_80_to_84,male_cases_85_to_89,female_cases_85_to_89,male_cases_90+,female_cases_90+
nation,Wales,W92000004,2020-02-27,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,9,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nation,Wales,W92000004,2020-02-28,1.0,1.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,9,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nation,Wales,W92000004,2020-02-29,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,9,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nation,Wales,W92000004,2020-03-01,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,9,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nation,Wales,W92000004,2020-03-02,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nation,Wales,W92000004,2020-03-03,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nation,Wales,W92000004,2020-03-04,0.0,1.0,0.0,1.0,2.0,0.1,[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nation,Wales,W92000004,2020-03-05,1.0,2.0,0.1,0.0,2.0,0.1,[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,10,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nation,Wales,W92000004,2020-03-06,0.0,2.0,0.1,0.0,2.0,0.1,[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nation,Wales,W92000004,2020-03-07,0.0,2.0,0.1,2.0,4.0,0.1,[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
